#Time 	Sensor1         	Sensor2         	Target         
#================================================================

10084   	0.04, -14.61 	-11.79, -14.62 	-9.15, -4.23
10099   	0.04, -14.57 	-11.79, -14.62 	-9.15, -4.23
10114   	0.04, -14.57 	-11.79, -14.66 	-9.15, -4.23
10129   	0.04, -14.57 	-11.79, -14.66 	-9.15, -4.23
10144   	0.04, -14.57 	-103.58, 340.38 	-9.15, -4.23
10221   	0.04, -14.61 	-11.80, -14.62 	-9.15, -4.23
10237   	0.05, -14.57 	-11.80, -14.62 	-9.15, -4.23
10253   	0.04, -14.58 	-11.80, -14.62 	-9.15, -4.23
10269   	0.04, -14.58 	-11.80, -14.62 	-9.15, -4.23
10347   	0.05, -14.57 	-11.81, -14.63 	-9.15, -4.23
10362   	0.05, -14.57 	-11.81, -14.67 	-9.15, -4.23
10377   	0.05, -14.57 	-11.81, -14.67 	-9.15, -4.23
10393   	0.05, -14.58 	-11.81, -14.67 	-9.15, -4.23
10408   	0.05, -14.58 	-11.81, -14.67 	-9.15, -4.23
10488   	0.03, -14.58 	-11.81, -14.70 	-9.15, -4.23
10504   	0.03, -14.58 	-11.81, -14.70 	-9.15, -4.23
10520   	0.04, -14.61 	-11.80, -14.71 	-9.15, -4.23
10536   	0.04, -14.61 	-11.80, -14.71 	-9.15, -4.23
10623   	0.05, -14.62 	-11.81, -14.62 	-9.15, -4.23
10639   	0.05, -14.63 	-11.81, -14.62 	-9.15, -4.23
10655   	0.05, -14.63 	-11.81, -14.62 	-9.15, -4.23
10679   	0.05, -14.62 	-11.81, -14.62 	-9.15, -4.23
10694   	0.05, -14.58 	-11.81, -14.62 	-9.15, -4.23
10709   	0.05, -14.58 	-11.81, -14.62 	-9.15, -4.23
10787   	0.04, -14.54 	-11.82, -14.75 	-9.15, -4.23
10803   	0.04, -14.51 	-11.81, -14.70 	-9.15, -4.23
10819   	0.04, -14.51 	-11.80, -14.70 	-9.15, -4.23
10835   	0.04, -14.51 	-11.80, -14.75 	-9.15, -4.23
10912   	0.04, -14.51 	-11.82, -14.71 	-9.15, -4.23
