#Time 	Sensor1         	Sensor2         	Target         
#================================================================

9062    	0.01, -14.44 	-11.65, -14.40 	-12.20, -0.55
9141    	0.01, -14.48 	-11.57, -14.24 	-12.20, -0.55
9157    	0.01, -14.48 	-108.93, 342.22 	-12.20, -0.55
9173    	0.01, -14.48 	-11.48, -14.82 	-12.20, -0.55
9189    	0.01, -14.48 	-10.55, -14.99 	-12.20, -0.55
9267    	0.02, -14.48 	-9.82, -18.59 	-12.20, -0.55
9282    	0.02, -14.56 	-8.49, -24.26 	-12.20, -0.55
9297    	0.02, -14.56 	-8.20, -24.78 	-12.20, -0.55
9312    	0.02, -14.52 	-8.11, -25.16 	-12.20, -0.55
9327    	0.02, -14.52 	-7.89, -25.42 	-12.20, -0.55
9408    	0.03, -14.48 	-6.32, -25.03 	-12.20, -0.55
9424    	0.03, -14.43 	-6.29, -25.01 	-12.20, -0.55
9440    	0.02, -14.36 	-6.42, -19.35 	-12.20, -0.55
9456    	0.01, -14.32 	-6.44, -19.39 	-12.20, -0.55
9534    	0.03, -14.47 	-6.52, -16.43 	-12.20, -0.55
9549    	0.03, -14.47 	-6.53, -15.99 	-12.20, -0.55
9564    	0.04, -14.47 	-6.57, -15.83 	-12.20, -0.55
9579    	0.03, -14.52 	-6.59, -15.97 	-12.20, -0.55
9594    	0.03, -14.43 	-6.62, -15.88 	-12.20, -0.55
9682    	0.01, -14.55 	-6.67, -16.03 	-12.20, -0.55
9697    	0.03, -14.74 	-6.65, -16.18 	-12.20, -0.55
9712    	-0.06, -14.95 	-6.64, -16.06 	-12.20, -0.55
9727    	-0.19, -14.42 	-6.61, -15.80 	-12.20, -0.55
9742    	-0.18, -14.33 	-106.79, 345.85 	-12.20, -0.55
9821    	-0.09, -14.26 	-6.80, -16.09 	-12.20, -0.55
9837    	-0.09, -14.29 	-6.84, -16.18 	-12.20, -0.55
9853    	-0.14, -14.40 	-6.91, -16.26 	-12.20, -0.55
9869    	-0.18, -14.56 	-7.00, -16.04 	-12.20, -0.55
9947    	-0.42, -13.67 	-7.27, -14.84 	-12.20, -0.55
9962    	-0.53, -13.29 	-7.25, -14.84 	-12.20, -0.55
9977    	-0.58, -13.34 	-7.25, -14.87 	-12.20, -0.55
9992    	-1.45, -13.61 	-7.21, -14.85 	-12.20, -0.55
10007   	-1.49, -13.77 	-7.22, -14.69 	-12.20, -0.55
10087   	-1.78, -13.07 	-7.21, -14.66 	-12.20, -0.55
10103   	-1.77, -13.23 	-105.27, 342.78 	-12.20, -0.55
10119   	-1.74, -13.17 	-7.18, -14.78 	-12.20, -0.55
10135   	-1.75, -13.01 	-7.16, -14.69 	-12.20, -0.55
10213   	-1.69, -12.98 	-7.12, -14.69 	-12.20, -0.55
10236   	-1.67, -13.42 	-7.10, -14.80 	-12.20, -0.55
10252   	-1.66, -13.41 	-7.08, -14.80 	-12.20, -0.55
10276   	-1.69, -13.25 	-7.12, -14.57 	-12.20, -0.55
10291   	-1.69, -13.41 	-7.13, -14.34 	-12.20, -0.55
